N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"57,500",500,-0.86%,100,"3,432,625","5,969,783",49.61,"14,988,231",9.02,13.92,
2,LG에너지솔루션,"399,500",500,-0.12%,500,"934,830","234,000",3.22,"197,301",127.31,10.68,
3,SK하이닉스,"94,000",0,0.00%,"5,000","684,322","728,002",49.37,"2,534,514",6.46,16.84,
4,삼성바이오로직스,"825,000","7,000",-0.84%,"2,500","587,186","71,174",10.69,"57,243",115.19,8.21,
5,삼성전자우,"53,500",900,+1.71%,100,"440,244","822,887",72.12,"648,702",8.40,N/A,
6,현대차,"182,500","1,000",-0.54%,"5,000","389,944","213,668",26.85,"772,215",9.72,6.84,
7,NAVER,"233,500","4,000",-1.68%,100,"383,055","164,049",53.37,"609,212",28.39,106.72,
8,LG화학,"530,000","13,000",+2.51%,"5,000","374,139","70,592",47.58,"225,769",13.60,18.47,
9,삼성SDI,"541,000","13,000",+2.46%,"5,000","372,016","68,765",42.51,"327,878",27.35,8.45,
10,카카오,"72,100",200,+0.28%,100,"320,808","444,948",28.90,"1,587,909",12.99,17.10,
11,기아,"78,800","1,000",-1.25%,"5,000","319,426","405,363",36.08,"1,269,804",6.71,14.69,
12,셀트리온,"189,000","1,000",-0.53%,"1,000","266,051","140,768",20.62,"418,170",52.70,16.04,
13,삼성물산,"113,000",500,-0.44%,100,"211,182","186,887",16.38,"338,178",16.07,5.40,
14,현대모비스,"211,500","1,500",+0.71%,"5,000","200,022","94,573",34.10,"306,758",8.82,6.87,
15,POSCO홀딩스,"223,000","3,500",-1.55%,"5,000","194,427","87,187",52.94,"309,039",2.66,13.97,
16,KB금융,"45,350",50,+0.11%,"5,000","187,002","412,352",72.61,"1,414,833",4.10,9.80,
17,신한지주,"34,000",600,-1.73%,"5,000","174,398","512,934",61.86,"1,834,379",4.30,8.80,
18,SK이노베이션,"172,500","6,000",+3.60%,"5,000","159,503","92,466",25.35,"568,766",10.96,1.91,
19,SK,"206,500","2,000",-0.96%,200,"153,118","74,149",22.09,"161,992",5.03,10.19,
20,LG전자,"90,200",900,-0.99%,"5,000","147,610","163,648",26.90,"651,079",12.94,6.32,
21,카카오뱅크,"30,900",700,-2.22%,"5,000","147,171","476,282",12.61,"1,249,754",62.55,4.91,
22,한국전력,"21,500",350,-1.60%,"5,000","138,022","641,964",14.64,"1,375,042",-1.22,-7.99,
23,크래프톤,"245,000","2,500",+1.03%,100,"120,227","49,072",29.17,"148,905",20.15,17.86,
24,SK텔레콤,"54,900",900,-1.61%,100,"120,139","218,833",47.88,"660,897",8.16,13.63,
25,LG,"76,000",800,-1.04%,"5,000","119,549","157,301",35.96,"224,898",4.30,12.36,
26,삼성생명,"57,800",900,-1.53%,500,"115,600","200,000",13.20,"252,189",17.76,4.01,
27,SK바이오사이언스,"150,000","7,500",+5.26%,500,"115,176","76,784",3.88,"1,304,402",33.65,38.08,
28,HMM,"23,500",100,-0.42%,"5,000","114,924","489,039",8.95,"2,870,901",1.21,88.62,
29,두산에너빌리티,"17,800",50,+0.28%,"5,000","112,710","633,202",10.05,"3,102,810",26.69,10.67,
30,LG생활건강,"720,000","5,000",+0.70%,"5,000","112,451","15,618",37.75,"69,330",18.25,16.65,
31,KT&G,"81,000",200,-0.25%,"5,000","111,207","137,292",40.00,"258,623",11.49,10.74,
32,하나금융지주,"34,800",850,-2.38%,"5,000","102,974","295,903",72.67,"1,743,800",2.91,10.86,
33,현대중공업,"115,000",500,-0.43%,"5,000","102,089","88,773",5.73,"173,970",-9.33,-14.87,
34,S-Oil,"90,600",700,+0.78%,"2,500","102,000","112,583",82.54,"254,548",5.55,21.76,
35,삼성에스디에스,"130,500","2,500",-1.88%,500,"100,978","77,378",13.19,"150,428",15.47,8.80,
36,삼성전기,"132,000","1,000",-0.75%,"5,000","98,596","74,694",25.94,"521,347",10.51,14.29,
37,KT,"36,950",200,-0.54%,"5,000","96,481","261,112",44.88,"706,113",6.59,9.36,
38,삼성화재,"197,000","1,500",-0.76%,500,"93,328","47,375",49.50,"80,585",8.79,7.09,
39,대한항공,"24,850",100,+0.40%,"5,000","91,503","368,221",12.82,"1,569,331",7.45,11.60,
40,카카오페이,"68,100",600,+0.89%,500,"90,252","132,529",43.67,"298,251",-343.94,-2.45,
41,고려아연,"452,000","2,500",-0.55%,"5,000","85,292","18,870",20.40,"22,914",11.30,11.07,
42,포스코케미칼,"110,000","1,500",+1.38%,500,"85,210","77,463",6.41,"316,777",65.32,7.92,
43,우리금융지주,"11,300",150,-1.31%,"5,000","82,271","728,061",40.06,"2,168,164",2.97,10.59,
44,엔씨소프트,"367,500","1,000",+0.27%,500,"80,681","21,954",42.29,"109,121",16.64,12.62,
45,LG이노텍,"339,500","2,000",+0.59%,"5,000","80,350","23,667",26.39,"133,299",8.88,30.94,
46,아모레퍼시픽,"134,500","1,500",-1.10%,500,"78,673","58,493",26.04,"172,089",52.79,4.20,
47,현대글로비스,"182,500",0,0.00%,500,"68,438","37,500",45.12,"94,293",7.24,14.41,
48,하이브,"163,500","5,000",+3.15%,500,"67,613","41,353",15.49,"230,957",42.15,6.83,
49,기업은행,"9,030",40,-0.44%,"5,000","67,210","744,301",13.90,"932,945",2.90,9.21,
50,한화솔루션,"32,950",150,-0.45%,"5,000","63,026","191,278",18.98,"903,744",19.00,8.79,
51,SK바이오팜,"77,800",400,-0.51%,500,"60,928","78,313",5.83,"83,329",-61.31,15.75,
52,CJ제일제당,"402,000","1,000",-0.25%,"5,000","60,518","15,054",23.11,"34,193",10.19,10.76,
53,SK아이이테크놀로지,"83,500","1,300",+1.58%,"1,000","59,533","71,298",11.76,"532,762",76.68,5.57,
